Designator,Footprint,Quantity,Value,LCSC Part #
A1,SWRU120B,1,SWRU120B,
"C1, C2, C21",0402,3,10uF,C15525
C10,0402,1,100pF,C1546
C11,0603,1,1uF,C15849
"C12, C14, C22, C8",0402,4,100nF,C1525
"C13, C16, C20, C24",0805,4,4.7uF,C1779
C15,0805,1,1uF,C28323
"C17, C18, C25",0603,3,2.2uF,C23630
C19,0402,1,1nF,C1523
C23,0402,1,1uF,C52923
"C5, C6",0402,2,10pF,C32949
C7,0402,1,0.8pF,C327032
C9,0402,1,NC,
"D1, D2, D3, D4",0603,4,LED,C2286
D5,CR_SOD323_MCC-L,1,1N4148WX-TP,C2128
J5,2pad_conn_sm,1,BUZZER,C2759981
J8,GCT_USB4125-GF-A_REVA2,1,USBC,
L1,0402,1,3.8nH,C412343
L2,0805,1,10uH,C1046
Q1,SOT-23-3L_AOS,1,BSS806NEH6327XTSA1,C20917
Q2,TRAN_SS8050-G_CIP,1,NPN,C2150
Q3,SOT-23-3L_AOS,1,PMOS,C15127
R1,0402,1,2.94k,C273724
"R10, R24",0402,2,10k,C25744
"R11, R12, R32, R33, R8, R9",0402,6,2k,C4109
R13,0402,1,220,C25091
"R14, R15, R16",0402,3,47k,C25792
"R17, R18, R22, R23",0402,4,100k,C25741
R19,0603,1,300k,C23024
"R2, R3, R4, R5, R6",0402,5,0R,C17168
R20,0402,1,1k,C11702
R21,0603,1,150k,C22807
"R25, R26",0402,2,5.1k,C25905
R7,0402,1,4.32k,C334698
"SW1, SW2",SW_TS02-66-120-BK-260-LCR-D,2,SW_Push,
U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm,1,nRF52832-QFxx,C77540
U2,RGT0016C,1,BQ24232RGTR,C528622
U3,TDFN6_1P2X1P2_MCH,1,MIC5528-3.3YMT-TR,C622490
U4,SOT-23-6,1,MCP65R41,C219181
U5,TRANS_IRF7103TRPBF_INF,1,IRF7319TRPBF,C5123893
Y1,OSC_XRCGB32M000F2P01R0,1,Crystal_GND24,C2901738
