Designator,Mid X,Mid Y,Rotation,Layer
A1,43.994,-19.912,270.0,top
C10,36.83,-15.494,0.0,top
C11,28.9306,-12.065,90.0,top
C12,32.893,-12.2936,270.0,top
C13,26.0096,-21.5685,90.0,top
C14,27.4066,-12.446,270.0,top
C15,10.668,-17.399,90.0,top
C16,16.209,-15.621003,90.0,top
C17,19.177,-16.002,90.0,top
C18,23.495,-16.002,90.0,top
C19,14.0716,-6.9596,90.0,top
C20,6.1976,-6.477,0.0,top
C21,19.2024,-29.972,270.0,top
C22,14.732,-30.353,0.0,top
C23,16.6116,-30.8864,270.0,top
C24,11.303,-32.258,0.0,top
C25,11.3284,-37.0332,0.0,top
C5,37.846,-12.573,90.0,top
C6,34.2646,-11.303,270.0,top
C7,36.195,-18.6015,270.0,top
C8,26.162,-15.3416,180.0,top
C9,36.83,-16.637,0.0,top
D1,17.78,-5.571066,0.0,top
D2,17.78,-7.5184,0.0,top
D3,17.78,-3.623733,0.0,top
D4,17.78,-1.6764,0.0,top
D5,16.7386,-34.036,0.0,top
J1,28.448,-26.289,90.0,top
J2,34.3916,-22.86,270.0,top
J3,3.0607,-35.8521,180.0,top
J4,31.242,-36.703,90.0,top
J5,6.0706,-3.4036,270.0,top
J6,27.6352,-3.2766,270.0,bottom
J7,11.303,-40.767,270.0,top
J8,2.8995,-19.939,270.0,top
L1,38.1645,-18.0086,180.0,top
L2,14.097,-10.033,90.0,top
Q1,24.6888,-3.0861,90.0,top
Q2,11.2776,-4.2926,90.0,top
Q3,28.8036,-30.607,0.0,top
R1,13.208,-14.859,270.0,top
R10,11.9126,-23.2664,270.0,top
R11,24.9936,-10.795,180.0,top
R12,27.94,-8.763,180.0,top
R13,14.5796,-5.1816,180.0,top
R14,26.924,-6.096,180.0,top
R15,30.607,-7.366,0.0,top
R16,31.2166,-6.096,0.0,top
R17,20.4724,-29.972,270.0,top
R18,24.765,-32.766,180.0,top
R19,19.2786,-32.004,180.0,top
R2,23.241,-20.955,90.0,top
R20,22.352,-32.766,0.0,top
R21,21.9456,-29.845,270.0,top
R22,22.098,-33.909,0.0,top
R23,14.732,-29.083,180.0,top
R24,14.732,-31.623,180.0,top
R25,8.636,-19.939,180.0,top
R26,8.636,-21.082,180.0,top
R27,6.5145,-13.335,0.0,top
R28,36.449,-41.91,90.0,top
R29,37.973,-6.096,270.0,top
R3,9.6266,-23.2664,270.0,top
R30,6.35,-10.414,0.0,top
R31,6.223,-41.7455,90.0,top
R4,19.9175,-20.955,270.0,top
R5,21.59,-20.955,270.0,top
R6,8.4836,-23.2664,270.0,top
R7,10.7696,-23.2664,90.0,top
R8,21.6916,-5.334,180.0,top
R9,21.6916,-6.6548,180.0,top
SW1,30.861,-41.91,180.0,bottom
SW2,21.6408,-39.4716,270.0,bottom
U1,31.109,-17.532,0.0,top
U2,16.209,-19.685003,90.0,top
U3,21.336,-16.764,180.0,top
U4,24.7396,-29.718,90.0,top
U5,16.4885,-25.4,0.0,top
Y1,36.0515,-12.446,0.0,top
